Sl-No,Mole_frac_water,Temperature,Pressure,Activityt_water,Delta[Act]_comp0,Comp0,Comp1,Ref,IL_SMILES,Cation_SMILES,Anion_SMILES,MolecularFormula,C,H,N,O,S,P,F,Cl,Br,I
1822,0,348.15,101.325,0.421,0.035,water,N-(3-hydroxypropyl)pyridinium dicyanamide,Domanska et al. (2017b),[N-](C#N)C#N.OCCC[N+]1=CC=CC=C1,OCCC[N+]1=CC=CC=C1,[N-](C#N)C#N,C10H12N4O,10,12,4,1,0,0,0,0,0,0
1823,0,358.15,101.325,0.432,0.035,water,N-(3-hydroxypropyl)pyridinium dicyanamide,Domanska et al. (2017b),[N-](C#N)C#N.OCCC[N+]1=CC=CC=C1,OCCC[N+]1=CC=CC=C1,[N-](C#N)C#N,C10H12N4O,10,12,4,1,0,0,0,0,0,0
1824,0,313.15,101.3,1.954,0.2,water,tetradecyl(trihexyl)phosphonium dicyanamide,Kabane and Redhi (2019),[N-](C#N)C#N.C(CCCCCCCCCCCCC)[P+](CCCCCC)(CCCCCC)CCCCCC,C(CCCCCCCCCCCCC)[P+](CCCCCC)(CCCCCC)CCCCCC,[N-](C#N)C#N,C34H68N3P,34,68,3,0,0,1,0,0,0,0
1825,0,323.15,101.3,1.823,0.19,water,tetradecyl(trihexyl)phosphonium dicyanamide,Kabane and Redhi (2019),[N-](C#N)C#N.C(CCCCCCCCCCCCC)[P+](CCCCCC)(CCCCCC)CCCCCC,C(CCCCCCCCCCCCC)[P+](CCCCCC)(CCCCCC)CCCCCC,[N-](C#N)C#N,C34H68N3P,34,68,3,0,0,1,0,0,0,0
1826,0,333.15,101.3,1.725,0.18,water,tetradecyl(trihexyl)phosphonium dicyanamide,Kabane and Redhi (2019),[N-](C#N)C#N.C(CCCCCCCCCCCCC)[P+](CCCCCC)(CCCCCC)CCCCCC,C(CCCCCCCCCCCCC)[P+](CCCCCC)(CCCCCC)CCCCCC,[N-](C#N)C#N,C34H68N3P,34,68,3,0,0,1,0,0,0,0
1827,0,343.15,101.3,1.603,0.17,water,tetradecyl(trihexyl)phosphonium dicyanamide,Kabane and Redhi (2019),[N-](C#N)C#N.C(CCCCCCCCCCCCC)[P+](CCCCCC)(CCCCCC)CCCCCC,C(CCCCCCCCCCCCC)[P+](CCCCCC)(CCCCCC)CCCCCC,[N-](C#N)C#N,C34H68N3P,34,68,3,0,0,1,0,0,0,0
1828,0,313.15,101.325,0.26,0.03,water,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",Kabane et al. (2019),CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.CC(CC(C)(C)C)CP(=O)(CC(C)CC(C)(C)C)[O-],CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,CC(CC(C)(C)C)CP(=O)(CC(C)CC(C)(C)C)[O-],C48H102O2P2,48,102,0,2,0,2,0,0,0,0
1829,0,323.15,101.325,0.27,0.03,water,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",Kabane et al. (2019),CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.CC(CC(C)(C)C)CP(=O)(CC(C)CC(C)(C)C)[O-],CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,CC(CC(C)(C)C)CP(=O)(CC(C)CC(C)(C)C)[O-],C48H102O2P2,48,102,0,2,0,2,0,0,0,0
1830,0,333.15,101.325,0.3,0.03,water,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",Kabane et al. (2019),CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.CC(CC(C)(C)C)CP(=O)(CC(C)CC(C)(C)C)[O-],CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,CC(CC(C)(C)C)CP(=O)(CC(C)CC(C)(C)C)[O-],C48H102O2P2,48,102,0,2,0,2,0,0,0,0
1831,0,343.15,101.325,0.31,0.03,water,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",Kabane et al. (2019),CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.CC(CC(C)(C)C)CP(=O)(CC(C)CC(C)(C)C)[O-],CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,CC(CC(C)(C)C)CP(=O)(CC(C)CC(C)(C)C)[O-],C48H102O2P2,48,102,0,2,0,2,0,0,0,0
1832,0,303.15,101.325,3.89,0.18,water,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,Kato and Gmehling (2005a),CCCCCCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCCCCCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C14H23F6N3O4S2,14,23,3,4,2,0,6,0,0,0
1833,0,313.15,101.325,3.52,0.16,water,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,Kato and Gmehling (2005a),CCCCCCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCCCCCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C14H23F6N3O4S2,14,23,3,4,2,0,6,0,0,0
1834,0,323.15,101.325,3.03,0.14,water,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,Kato and Gmehling (2005a),CCCCCCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCCCCCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C14H23F6N3O4S2,14,23,3,4,2,0,6,0,0,0
1835,0,333.15,101.325,2.58,0.12,water,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,Kato and Gmehling (2005a),CCCCCCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCCCCCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C14H23F6N3O4S2,14,23,3,4,2,0,6,0,0,0
1836,0.9137,298.2,100,0.907,0.04,water,"1,3-dimethylimidazolium chloride",Khan et al. (2014b),CN1C=C[N+](=C1)C.[Cl-],CN1C=C[N+](=C1)C,[Cl-],C5H9ClN2,5,9,2,0,0,0,0,1,0,0
1837,0.9455,298.2,100,0.947,0.04,water,"1,3-dimethylimidazolium chloride",Khan et al. (2014b),CN1C=C[N+](=C1)C.[Cl-],CN1C=C[N+](=C1)C,[Cl-],C5H9ClN2,5,9,2,0,0,0,0,1,0,0
1838,0.9673,298.2,100,0.969,0.04,water,"1,3-dimethylimidazolium chloride",Khan et al. (2014b),CN1C=C[N+](=C1)C.[Cl-],CN1C=C[N+](=C1)C,[Cl-],C5H9ClN2,5,9,2,0,0,0,0,1,0,0
1839,0.9852,298.2,100,0.984,0.04,water,"1,3-dimethylimidazolium chloride",Khan et al. (2014b),CN1C=C[N+](=C1)C.[Cl-],CN1C=C[N+](=C1)C,[Cl-],C5H9ClN2,5,9,2,0,0,0,0,1,0,0
1840,0,338.15,101,0.294,0.031,water,1-butyl-3-methylpyridinium dicyanamide,Krolikowski and Krolikowski (2014),[N-](C#N)C#N.C(CCC)[N+]1=CC(=CC=C1)C,C(CCC)[N+]1=CC(=CC=C1)C,[N-](C#N)C#N,C12H16N4,12,16,4,0,0,0,0,0,0,0
1841,0,348.15,101,0.302,0.031,water,1-butyl-3-methylpyridinium dicyanamide,Krolikowski and Krolikowski (2014),[N-](C#N)C#N.C(CCC)[N+]1=CC(=CC=C1)C,C(CCC)[N+]1=CC(=CC=C1)C,[N-](C#N)C#N,C12H16N4,12,16,4,0,0,0,0,0,0,0
1842,0,358.15,101,0.307,0.031,water,1-butyl-3-methylpyridinium dicyanamide,Krolikowski and Krolikowski (2014),[N-](C#N)C#N.C(CCC)[N+]1=CC(=CC=C1)C,C(CCC)[N+]1=CC(=CC=C1)C,[N-](C#N)C#N,C12H16N4,12,16,4,0,0,0,0,0,0,0
1843,0,368.15,101,0.314,0.031,water,1-butyl-3-methylpyridinium dicyanamide,Krolikowski and Krolikowski (2014),[N-](C#N)C#N.C(CCC)[N+]1=CC(=CC=C1)C,C(CCC)[N+]1=CC(=CC=C1)C,[N-](C#N)C#N,C12H16N4,12,16,4,0,0,0,0,0,0,0
1844,0,328.15,101.325,0.842,0.086,water,4-(3-cyanopropyl)-4-methylmorpholinium tricyanomethanide,Krolikowski et al. (2020a),C(#N)[C-](C#N)C#N.C(#N)CCC[N+]1(CCOCC1)C,C(#N)CCC[N+]1(CCOCC1)C,C(#N)[C-](C#N)C#N,C13H17N5O,13,17,5,1,0,0,0,0,0,0
1845,0,338.15,101.325,0.771,0.08,water,4-(3-cyanopropyl)-4-methylmorpholinium tricyanomethanide,Krolikowski et al. (2020a),C(#N)[C-](C#N)C#N.C(#N)CCC[N+]1(CCOCC1)C,C(#N)CCC[N+]1(CCOCC1)C,C(#N)[C-](C#N)C#N,C13H17N5O,13,17,5,1,0,0,0,0,0,0
1846,0,348.15,101.325,0.727,0.076,water,4-(3-cyanopropyl)-4-methylmorpholinium tricyanomethanide,Krolikowski et al. (2020a),C(#N)[C-](C#N)C#N.C(#N)CCC[N+]1(CCOCC1)C,C(#N)CCC[N+]1(CCOCC1)C,C(#N)[C-](C#N)C#N,C13H17N5O,13,17,5,1,0,0,0,0,0,0
1847,0,358.15,101.325,0.664,0.07,water,4-(3-cyanopropyl)-4-methylmorpholinium tricyanomethanide,Krolikowski et al. (2020a),C(#N)[C-](C#N)C#N.C(#N)CCC[N+]1(CCOCC1)C,C(#N)CCC[N+]1(CCOCC1)C,C(#N)[C-](C#N)C#N,C13H17N5O,13,17,5,1,0,0,0,0,0,0
1848,0,328.15,101.325,0.614,0.065,water,4-(3-hydroxypropyl)-4-methylmorpholinium tricyanomethanide,Krolikowski et al. (2020a),C(#N)[C-](C#N)C#N.OCCC[N+]1(CCOCC1)C,OCCC[N+]1(CCOCC1)C,C(#N)[C-](C#N)C#N,C12H18N4O2,12,18,4,2,0,0,0,0,0,0
1849,0,338.15,101.325,0.588,0.063,water,4-(3-hydroxypropyl)-4-methylmorpholinium tricyanomethanide,Krolikowski et al. (2020a),C(#N)[C-](C#N)C#N.OCCC[N+]1(CCOCC1)C,OCCC[N+]1(CCOCC1)C,C(#N)[C-](C#N)C#N,C12H18N4O2,12,18,4,2,0,0,0,0,0,0
1850,0,348.15,101.325,0.562,0.06,water,4-(3-hydroxypropyl)-4-methylmorpholinium tricyanomethanide,Krolikowski et al. (2020a),C(#N)[C-](C#N)C#N.OCCC[N+]1(CCOCC1)C,OCCC[N+]1(CCOCC1)C,C(#N)[C-](C#N)C#N,C12H18N4O2,12,18,4,2,0,0,0,0,0,0
1851,0,358.15,101.325,0.54,0.06,water,4-(3-hydroxypropyl)-4-methylmorpholinium tricyanomethanide,Krolikowski et al. (2020a),C(#N)[C-](C#N)C#N.OCCC[N+]1(CCOCC1)C,OCCC[N+]1(CCOCC1)C,C(#N)[C-](C#N)C#N,C12H18N4O2,12,18,4,2,0,0,0,0,0,0
1852,0,293.15,101.325,3.68,0.18,water,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,Krummen et al. (2002),CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C8H11F6N3O4S2,8,11,3,4,2,0,6,0,0,0
1853,0,303.15,101.325,3.17,0.16,water,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,Krummen et al. (2002),CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C8H11F6N3O4S2,8,11,3,4,2,0,6,0,0,0
1854,0,313.15,101.325,2.83,0.14,water,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,Krummen et al. (2002),CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C8H11F6N3O4S2,8,11,3,4,2,0,6,0,0,0
1855,0,323.15,101.325,2.54,0.13,water,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,Krummen et al. (2002),CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C8H11F6N3O4S2,8,11,3,4,2,0,6,0,0,0
1856,0,303.15,101.325,2.86,0.14,water,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",Krummen et al. (2002),FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.CN1C=[N+](C=C1)C,CN1C=[N+](C=C1)C,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C7H9F6N3O4S2,7,9,3,4,2,0,6,0,0,0
1857,0,313.15,101.325,2.54,0.13,water,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",Krummen et al. (2002),FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.CN1C=[N+](C=C1)C,CN1C=[N+](C=C1)C,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C7H9F6N3O4S2,7,9,3,4,2,0,6,0,0,0
1858,0,323.15,101.325,2.23,0.11,water,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",Krummen et al. (2002),FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.CN1C=[N+](C=C1)C,CN1C=[N+](C=C1)C,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C7H9F6N3O4S2,7,9,3,4,2,0,6,0,0,0
1859,0,333.15,101.325,2.01,0.1,water,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",Krummen et al. (2002),FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.CN1C=[N+](C=C1)C,CN1C=[N+](C=C1)C,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C7H9F6N3O4S2,7,9,3,4,2,0,6,0,0,0
1860,0,293.15,101.325,3.95,0.2,water,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,Krummen et al. (2002),CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C10H15F6N3O4S2,10,15,3,4,2,0,6,0,0,0
1861,0,303.15,101.325,3.43,0.17,water,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,Krummen et al. (2002),CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C10H15F6N3O4S2,10,15,3,4,2,0,6,0,0,0
1862,0,313.15,101.325,3.01,0.15,water,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,Krummen et al. (2002),CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C10H15F6N3O4S2,10,15,3,4,2,0,6,0,0,0
1863,0,323.15,101.325,2.64,0.13,water,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,Krummen et al. (2002),CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C10H15F6N3O4S2,10,15,3,4,2,0,6,0,0,0
1864,0,313.15,101,0.67,0.05,water,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,Liebert et al. (2008),CCCC[N+]1(CCCC1)C.C(F)(F)(F)S(=O)(=O)[O-],CCCC[N+]1(CCCC1)C,C(F)(F)(F)S(=O)(=O)[O-],C10H20F3NO3S,10,20,1,3,1,0,3,0,0,0
1865,0,323.15,101,0.56,0.05,water,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,Liebert et al. (2008),CCCC[N+]1(CCCC1)C.C(F)(F)(F)S(=O)(=O)[O-],CCCC[N+]1(CCCC1)C,C(F)(F)(F)S(=O)(=O)[O-],C10H20F3NO3S,10,20,1,3,1,0,3,0,0,0
1866,0,333.15,101,0.51,0.04,water,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,Liebert et al. (2008),CCCC[N+]1(CCCC1)C.C(F)(F)(F)S(=O)(=O)[O-],CCCC[N+]1(CCCC1)C,C(F)(F)(F)S(=O)(=O)[O-],C10H20F3NO3S,10,20,1,3,1,0,3,0,0,0
1867,0,343.15,101,0.44,0.04,water,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,Liebert et al. (2008),CCCC[N+]1(CCCC1)C.C(F)(F)(F)S(=O)(=O)[O-],CCCC[N+]1(CCCC1)C,C(F)(F)(F)S(=O)(=O)[O-],C10H20F3NO3S,10,20,1,3,1,0,3,0,0,0
1868,0,398.15,101,0.2,0.029,water,1-butyl-3-methylimidazolium methanesulfonate,Martins et al. (2015a),CCCCN1C=C[N+](=C1)C.CS(=O)(=O)[O-],CCCCN1C=C[N+](=C1)C,CS(=O)(=O)[O-],C9H18N2O3S,9,18,2,3,1,0,0,0,0,0
1869,0,408.15,101,0.214,0.029,water,1-butyl-3-methylimidazolium methanesulfonate,Martins et al. (2015a),CCCCN1C=C[N+](=C1)C.CS(=O)(=O)[O-],CCCCN1C=C[N+](=C1)C,CS(=O)(=O)[O-],C9H18N2O3S,9,18,2,3,1,0,0,0,0,0
1870,0,418.15,101,0.228,0.029,water,1-butyl-3-methylimidazolium methanesulfonate,Martins et al. (2015a),CCCCN1C=C[N+](=C1)C.CS(=O)(=O)[O-],CCCCN1C=C[N+](=C1)C,CS(=O)(=O)[O-],C9H18N2O3S,9,18,2,3,1,0,0,0,0,0
1871,0,428.15,101,0.239,0.029,water,1-butyl-3-methylimidazolium methanesulfonate,Martins et al. (2015a),CCCCN1C=C[N+](=C1)C.CS(=O)(=O)[O-],CCCCN1C=C[N+](=C1)C,CS(=O)(=O)[O-],C9H18N2O3S,9,18,2,3,1,0,0,0,0,0
1872,0,398.15,101,0.073,0.03,water,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,Martins et al. (2015a),COP(=O)(OC)[O-].C(CCC)N1C=[N+](C=C1)C,C(CCC)N1C=[N+](C=C1)C,COP(=O)(OC)[O-],C10H21N2O4P,10,21,2,4,0,1,0,0,0,0
1873,0,408.15,101,0.081,0.03,water,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,Martins et al. (2015a),COP(=O)(OC)[O-].C(CCC)N1C=[N+](C=C1)C,C(CCC)N1C=[N+](C=C1)C,COP(=O)(OC)[O-],C10H21N2O4P,10,21,2,4,0,1,0,0,0,0
1874,0,418.15,101,0.092,0.03,water,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,Martins et al. (2015a),COP(=O)(OC)[O-].C(CCC)N1C=[N+](C=C1)C,C(CCC)N1C=[N+](C=C1)C,COP(=O)(OC)[O-],C10H21N2O4P,10,21,2,4,0,1,0,0,0,0
1875,0,428.15,101,0.101,0.03,water,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,Martins et al. (2015a),COP(=O)(OC)[O-].C(CCC)N1C=[N+](C=C1)C,C(CCC)N1C=[N+](C=C1)C,COP(=O)(OC)[O-],C10H21N2O4P,10,21,2,4,0,1,0,0,0,0
1876,0,398.15,101,0.07,0.03,water,1-butyl-3-methylimidazolium chloride,Martins et al. (2015a),CCCCN1C=C[N+](=C1)C.[Cl-],CCCCN1C=C[N+](=C1)C,[Cl-],C8H15ClN2,8,15,2,0,0,0,0,1,0,0
1877,0,408.15,101,0.077,0.03,water,1-butyl-3-methylimidazolium chloride,Martins et al. (2015a),CCCCN1C=C[N+](=C1)C.[Cl-],CCCCN1C=C[N+](=C1)C,[Cl-],C8H15ClN2,8,15,2,0,0,0,0,1,0,0
1878,0,418.15,101,0.085,0.03,water,1-butyl-3-methylimidazolium chloride,Martins et al. (2015a),CCCCN1C=C[N+](=C1)C.[Cl-],CCCCN1C=C[N+](=C1)C,[Cl-],C8H15ClN2,8,15,2,0,0,0,0,1,0,0
1879,0,428.15,101,0.094,0.03,water,1-butyl-3-methylimidazolium chloride,Martins et al. (2015a),CCCCN1C=C[N+](=C1)C.[Cl-],CCCCN1C=C[N+](=C1)C,[Cl-],C8H15ClN2,8,15,2,0,0,0,0,1,0,0
1880,0,393.15,101.325,0.869,0.056,water,3-methyl-1-tetradecyl-1H-imidazol-3-ium tetrafluoroborate,Martins et al. (2021),[B-](F)(F)(F)F.CCCCCCCCCCCCCCN1C=C[N+](=C1)C,CCCCCCCCCCCCCCN1C=C[N+](=C1)C,[B-](F)(F)(F)F,C18H35BF4N2,18,35,2,0,0,0,4,0,0,0
1881,0,403.15,101.325,0.832,0.054,water,3-methyl-1-tetradecyl-1H-imidazol-3-ium tetrafluoroborate,Martins et al. (2021),[B-](F)(F)(F)F.CCCCCCCCCCCCCCN1C=C[N+](=C1)C,CCCCCCCCCCCCCCN1C=C[N+](=C1)C,[B-](F)(F)(F)F,C18H35BF4N2,18,35,2,0,0,0,4,0,0,0
1882,0,418.15,101.325,0.75,0.049,water,3-methyl-1-tetradecyl-1H-imidazol-3-ium tetrafluoroborate,Martins et al. (2021),[B-](F)(F)(F)F.CCCCCCCCCCCCCCN1C=C[N+](=C1)C,CCCCCCCCCCCCCCN1C=C[N+](=C1)C,[B-](F)(F)(F)F,C18H35BF4N2,18,35,2,0,0,0,4,0,0,0
1883,0,433.15,101.325,0.666,0.045,water,3-methyl-1-tetradecyl-1H-imidazol-3-ium tetrafluoroborate,Martins et al. (2021),[B-](F)(F)(F)F.CCCCCCCCCCCCCCN1C=C[N+](=C1)C,CCCCCCCCCCCCCCN1C=C[N+](=C1)C,[B-](F)(F)(F)F,C18H35BF4N2,18,35,2,0,0,0,4,0,0,0
1884,0,343.15,101.325,1.267,0.082,water,3-methyl-1-tetradecyl-1H-imidazol-3-ium tetrafluoroborate,Martins et al. (2021),[B-](F)(F)(F)F.CCCCCCCCCCCCCCN1C=C[N+](=C1)C,CCCCCCCCCCCCCCN1C=C[N+](=C1)C,[B-](F)(F)(F)F,C18H35BF4N2,18,35,2,0,0,0,4,0,0,0
1885,0,358.15,101.325,1.145,0.073,water,3-methyl-1-tetradecyl-1H-imidazol-3-ium tetrafluoroborate,Martins et al. (2021),[B-](F)(F)(F)F.CCCCCCCCCCCCCCN1C=C[N+](=C1)C,CCCCCCCCCCCCCCN1C=C[N+](=C1)C,[B-](F)(F)(F)F,C18H35BF4N2,18,35,2,0,0,0,4,0,0,0
1886,0,373.15,101.325,1.016,0.064,water,3-methyl-1-tetradecyl-1H-imidazol-3-ium tetrafluoroborate,Martins et al. (2021),[B-](F)(F)(F)F.CCCCCCCCCCCCCCN1C=C[N+](=C1)C,CCCCCCCCCCCCCCN1C=C[N+](=C1)C,[B-](F)(F)(F)F,C18H35BF4N2,18,35,2,0,0,0,4,0,0,0
1887,0,388.15,101.325,0.912,0.058,water,3-methyl-1-tetradecyl-1H-imidazol-3-ium tetrafluoroborate,Martins et al. (2021),[B-](F)(F)(F)F.CCCCCCCCCCCCCCN1C=C[N+](=C1)C,CCCCCCCCCCCCCCN1C=C[N+](=C1)C,[B-](F)(F)(F)F,C18H35BF4N2,18,35,2,0,0,0,4,0,0,0
1888,0,323.15,101.325,1.435,0.094,water,1-dodecyl-3-methylimidazolium tetrafluoroborate,Martins et al. (2021),[B-](F)(F)(F)F.CCCCCCCCCCCCN1C=C[N+](=C1)C,CCCCCCCCCCCCN1C=C[N+](=C1)C,[B-](F)(F)(F)F,C16H31BF4N2,16,31,2,0,0,0,4,0,0,0
1889,0,328.15,101.325,1.377,0.09,water,1-dodecyl-3-methylimidazolium tetrafluoroborate,Martins et al. (2021),[B-](F)(F)(F)F.CCCCCCCCCCCCN1C=C[N+](=C1)C,CCCCCCCCCCCCN1C=C[N+](=C1)C,[B-](F)(F)(F)F,C16H31BF4N2,16,31,2,0,0,0,4,0,0,0
1890,0,333.15,101.325,1.336,0.087,water,1-dodecyl-3-methylimidazolium tetrafluoroborate,Martins et al. (2021),[B-](F)(F)(F)F.CCCCCCCCCCCCN1C=C[N+](=C1)C,CCCCCCCCCCCCN1C=C[N+](=C1)C,[B-](F)(F)(F)F,C16H31BF4N2,16,31,2,0,0,0,4,0,0,0
1891,0,338.15,101.325,1.277,0.082,water,1-dodecyl-3-methylimidazolium tetrafluoroborate,Martins et al. (2021),[B-](F)(F)(F)F.CCCCCCCCCCCCN1C=C[N+](=C1)C,CCCCCCCCCCCCN1C=C[N+](=C1)C,[B-](F)(F)(F)F,C16H31BF4N2,16,31,2,0,0,0,4,0,0,0
1892,0.601,298.15,101.325,0.06,0.04,water,"1-methyl-1,2,3,4,5,6,7,8-octahydropyrimido[1,2-a]pyrimidin-5-ium acetate",Martins et al. (2022),C(C)(=O)[O-].CN1C=2[NH+](CCC1)CCCN2,CN1C=2[NH+](CCC1)CCCN2,C(C)(=O)[O-],C10H19N3O2,10,19,3,2,0,0,0,0,0,0
1893,0.7,298.15,101.325,0.14,0.04,water,"1-methyl-1,2,3,4,5,6,7,8-octahydropyrimido[1,2-a]pyrimidin-5-ium acetate",Martins et al. (2022),C(C)(=O)[O-].CN1C=2[NH+](CCC1)CCCN2,CN1C=2[NH+](CCC1)CCCN2,C(C)(=O)[O-],C10H19N3O2,10,19,3,2,0,0,0,0,0,0
1894,0.8,298.15,101.325,0.29,0.04,water,"1-methyl-1,2,3,4,5,6,7,8-octahydropyrimido[1,2-a]pyrimidin-5-ium acetate",Martins et al. (2022),C(C)(=O)[O-].CN1C=2[NH+](CCC1)CCCN2,CN1C=2[NH+](CCC1)CCCN2,C(C)(=O)[O-],C10H19N3O2,10,19,3,2,0,0,0,0,0,0
1895,0.9,298.15,101.325,0.65,0.04,water,"1-methyl-1,2,3,4,5,6,7,8-octahydropyrimido[1,2-a]pyrimidin-5-ium acetate",Martins et al. (2022),C(C)(=O)[O-].CN1C=2[NH+](CCC1)CCCN2,CN1C=2[NH+](CCC1)CCCN2,C(C)(=O)[O-],C10H19N3O2,10,19,3,2,0,0,0,0,0,0
1896,0,328.15,101.325,0.388,0.046,water,3-(2-hydroxyethyl)-1-methyl-1H-imidazol-3-ium dicyanoazanide,Paduszynski and Krolikowska (2017),C(#N)[N-]C#N.OCC[N+]1=CN(C=C1)C,OCC[N+]1=CN(C=C1)C,C(#N)[N-]C#N,C8H11N5O,8,11,5,1,0,0,0,0,0,0
